p_val,avg_log2FC,pct.1,pct.2,p_val_adj,ratio,gene,,,,,,,,,,,
1.36811E-41,0.321672881,0.345,0.07,2.20047E-37,4.928571429,Mlxipl,,,,,,,,,,,
9.8753E-09,0.321411256,0.661,0.664,0.000158834,0.995481928,Map1lc3b,,,,,,,,,,,
1.41003E-19,0.321299631,0.37,0.167,2.26789E-15,2.215568862,Myh14,,,,,,,,,,,
3.8521E-17,0.320838402,0.401,0.213,6.19572E-13,1.882629108,Trappc5,,,,,,,,,,,
1.50272E-35,0.32054674,0.328,0.078,2.41697E-31,4.205128205,Cenpw,,,,,,,,,,,
1.15182E-08,0.320529771,0.525,0.438,0.000185258,1.198630137,Stub1,,,,,,,,,,,
4.34059E-14,0.320481123,0.401,0.235,6.98141E-10,1.706382979,Psmc4,,,,,,,,,,,
3.37127E-37,0.320460407,0.356,0.088,5.42235E-33,4.045454545,Maz,,,,,,,,,,,
1.69293E-10,0.320314909,0.669,0.62,2.7229E-06,1.079032258,Abhd11os,,,,,,,,,,,
8.04754E-36,0.31983961,0.291,0.055,1.29437E-31,5.290909091,Zbtb38,,,,,,,,,,,
2.59002E-26,0.319798755,0.26,0.066,4.16579E-22,3.939393939,Spc24,,,,,,,,,,,
3.99201E-19,0.319770767,0.395,0.196,6.42074E-15,2.015306122,Ap1s1,,,,,,,,,,,
2.00467E-20,0.319704815,0.421,0.214,3.22432E-16,1.96728972,Strap,,,,,,,,,,,
1.45647E-19,0.319415213,0.35,0.153,2.34258E-15,2.287581699,Galk1,,,,,,,,,,,
6.35642E-24,0.31936659,0.353,0.134,1.02237E-19,2.634328358,Sucla2,,,,,,,,,,,
8.07587E-16,0.319241221,0.449,0.264,1.29892E-11,1.700757576,Ggnbp2,,,,,,,,,,,
1.14468E-12,0.319131642,0.927,0.953,1.8411E-08,0.972717733,Dad1,,,,,,,,,,,
8.12733E-45,0.318961944,0.356,0.068,1.3072E-40,5.235294118,Mmd,,,,,,,,,,,
9.89965E-13,0.318908115,0.576,0.46,1.59226E-08,1.252173913,Drap1,,,,,,,,,,,
7.28466E-10,0.318515702,0.492,0.403,1.17166E-05,1.220843672,Dctn3,,,,,,,,,,,
4.73944E-11,0.318403087,0.864,0.884,7.62291E-07,0.977375566,Tmbim6,,,,,,,,,,,
2.51706E-28,0.318359248,0.347,0.114,4.04844E-24,3.043859649,Gipc1,,,,,,,,,,,
9.72436E-33,0.318109898,0.201,0.022,1.56407E-28,9.136363636,Cenpf,,,,,,,,,,,
1.57709E-10,0.317880778,0.565,0.48,2.5366E-06,1.177083333,Csde1,,,,,,,,,,,
1.25521E-10,0.317714753,0.466,0.335,2.01888E-06,1.391044776,Ptov1,,,,,,,,,,,
1.32193E-16,0.317573947,0.395,0.205,2.12619E-12,1.926829268,Irf8,,,,,,,,,,,
5.35119E-33,0.317291165,0.316,0.075,8.60685E-29,4.213333333,Gas6,,,,,,,,,,,
4.96234E-20,0.317083813,0.373,0.167,7.98143E-16,2.233532934,Ptrh2,,,,,,,,,,,
1.07787E-23,0.31699992,0.421,0.184,1.73364E-19,2.288043478,Srsf10,,,,,,,,,,,
4.98397E-16,0.316851015,0.429,0.242,8.01622E-12,1.772727273,Fam120a,,,,,,,,,,,
7.13497E-11,0.315922426,0.449,0.325,1.14759E-06,1.381538462,Clpp,,,,,,,,,,,
7.43612E-14,0.315744269,0.455,0.304,1.19603E-09,1.496710526,C1d,,,,,,,,,,,
6.70052E-14,0.315310172,0.41,0.248,1.07771E-09,1.653225806,Phyh,,,,,,,,,,,
3.06393E-13,0.314965974,0.463,0.304,4.92802E-09,1.523026316,Gm16286,,,,,,,,,,,
1.15711E-11,0.314907094,0.472,0.336,1.8611E-07,1.404761905,Rcc2,,,,,,,,,,,
3.57154E-19,0.313954577,0.438,0.237,5.74447E-15,1.848101266,St13,,,,,,,,,,,
1.25683E-16,0.313662237,0.393,0.211,2.02148E-12,1.862559242,Mtx2,,,,,,,,,,,
4.29258E-17,0.313238008,0.367,0.181,6.90419E-13,2.027624309,Pole3,,,,,,,,,,,
3.04679E-28,0.313062028,0.376,0.135,4.90046E-24,2.785185185,1190007I07Rik,,,,,,,,,,,
5.51713E-11,0.312921855,0.605,0.483,8.87375E-07,1.252587992,Kif5b,,,,,,,,,,,
4.90849E-14,0.312786705,0.393,0.223,7.89481E-10,1.762331839,Rps6ka1,,,,,,,,,,,
8.29897E-14,0.312584588,0.438,0.27,1.33481E-09,1.622222222,Pbrm1,,,,,,,,,,,
2.22343E-31,0.312430316,0.297,0.07,3.57617E-27,4.242857143,Ttr,,,,,,,,,,,
1.00642E-30,0.312347269,0.373,0.119,1.61873E-26,3.134453782,Mecr,,,,,,,,,,,
